Building_Code,Building_Name,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
F204,,1964.35,1964.35,3990.09,4450.48,6353.45,7212.85,11724.72,10404.92,11847.49,11694.02,7918.79,4020.78,3345.53,920.79,1227.72,2117.82,4696.02,5678.2,7498.0,8593.0,9178.0,5770.0,5758.0,4300.0,3325.0,1863.0,1934.0,3550.0,5156.0,6439.0,7747.0,6910.0,6669.0,4329.0,3178.0,4160.39
F402,,48.22,48.22,125.95,3019.06,3376.58,4171.07,5680.6,3495.75,5124.46,5045.01,4290.24,4687.49,4528.59,4845.66,4101.17,9127.11,7559.02,10252.93,7528.0,7559.0,9202.0,9337.0,9640.0,6728.0,4689.0,2446.94,6773.0,9676.0,7793.0,11090.0,7286.0,5099.0,11632.0,10011.0,10246.0,5707.74
F405,,0.0,0.0,1220.37,169.5,6237.43,14678.29,33051.58,24610.71,9152.74,21627.6,17254.62,7254.4,0.0,0.0,1220.37,891.9,6140.41,14064.63,27911.0,23807.0,23417.0,16271.0,16653.0,14165.0,0.0,0.0,1220.37,530.7,10463.0,24926.0,32106.0,22472.0,24521.0,22403.0,17753.0,10709.7
F512,,6594.87,6594.87,5208.26,7744.75,13697.05,17045.22,27969.03,25973.66,23707.73,21509.44,3531.39,12390.85,12390.85,12390.85,3283.57,5854.68,13629.93,12669.64,17327.0,20565.0,22678.0,15768.0,14012.0,12882.0,8585.0,4818.0,5952.0,11562.0,12368.0,19958.0,23378.0,18783.0,23531.0,20101.0,15884.0,12636.42
F516/17,,1459.92,1459.92,1733.65,1976.97,2828.59,3102.32,4805.56,6539.21,5505.11,5292.2,3953.94,2919.83,2281.12,1003.69,1155.77,2159.46,4075.6,4531.83,4800.0,5718.0,5450.0,3589.0,4097.0,2465.0,2150.0,1413.0,1018.0,1533.0,2419.0,3160.0,3089.0,4360.0,4956.0,4198.0,3361.0,2692.42
F603,,368.44,368.44,736.89,884.26,2394.88,2505.41,2837.01,773.73,4163.41,2358.04,1768.53,663.2,589.51,221.07,368.44,921.11,1400.08,1805.37,2630.0,2383.0,4637.0,1769.0,1397.0,1032.0,744.0,105.0,181.0,3314.0,1897.48,2871.0,3557.0,3831.0,4633.0,3023.0,405.0,847.6
F620,Psychology 2 Gas meter,2794.93,4457.74,5943.65,5059.18,4634.63,5200.7,5943.65,6085.17,5200.7,4457.74,4953.04,4634.63,3927.06,4422.36,5377.59,5448.35,5342.21,5306.83,4599.25,4846.91,3785.54,3750.16,2582.66,3077.96,1662.81,1061.37,1839.7,1096.75,1698.19,1768.94,1238.26,1556.67,1910.46,2759.55,3767.85,3856.3
F62X,,72668.22,72668.22,11321.24,5483.73,118554.63,150218.72,50131.87,94603.12,41393.29,50627.18,30496.59,19069.22,17724.82,6969.64,3396.37,3927.06,4563.88,3962.43,4125.0,4184.0,4060.0,3502.0,2683.0,4637.0,1981.0,1912.0,906.0,944.0,1442.0,990.0,1530.0,1179.0,1068.0,1380.0,986.0,11853.11
F916,,39249.13,39249.13,3019.16,89489.38,119036.48,10109.11,68762.31,75377.33,18759.52,1509.5,12551.58,46780.08,124769.5,66319.84,55159.11,54209.26,106281.36,22491.08,91851.0,36294.0,51686.0,780.0,11980.0,2239.0,109448.0,135985.0,105993.0,67745.0,104506.0,8165.0,68765.0,314414.0,613.0,2239.0,2837.0,24509.54
F940,PLAZA BUILDING,11064.03,11064.03,10418.9,9196.42,16893.12,15645.18,10170.51,262738.3,102722.2,113745.29,10546.45,7732.61,11936.42,14326.34,15631.71,4302.5,12645.34,12238.52,10455.0,10498.0,419596.0,129573.0,27148.0,139221.0,9558.0,11243.0,10289.0,10170.0,11645.0,10277.0,10347.0,336539.0,68660.0,115147.0,54624.0,73476.8
